Company,Phone,City,State,Power Units,Status,Tag,Call_Attempts,Last_Called
DURAN TRUCKING EXPRESS LLC,(415) 685-1486,,,1,,,0,
IZX LLC,(305) 904-1583,TALLAHASSEE,FL,1,,ACTIVE SMALL FLEET,0,
COMBAT INFANTRY TRUCKING CORP,(917) 673-0431,FAIR LAWN,NJ,2,,ACTIVE SMALL FLEET,0,
SENAY EXPRESS LLC,(469) 639-5876,ANNA,TX,2,,ACTIVE SMALL FLEET,0,
KINJAY AUTO TRANSPORT LLC,(469) 231-6937,MCKINNEY,TX,1,,ACTIVE SMALL FLEET,0,
ALL ABOUT MODULAR SERVICE LLC,(407) 300-7315,CHARLOTTE,NC,1,,ACTIVE SMALL FLEET,0,
AXELS TRUCKING LLC,(270) 668-3407,HARDINSBURG,KY,1,,ACTIVE SMALL FLEET,0,
LUO YANG EXPRESS INC,(626) 763-7311,WALNUT,CA,1,,ACTIVE SMALL FLEET,0,
THHB LLC,(469) 605-9200,GARLAND,TX,2,,ACTIVE SMALL FLEET,0,
JMD CARGO INC,(951) 377-3636,LA HABRA,CA,1,,ACTIVE SMALL FLEET,0,
BROOKE TRUCKING INC,(501) 710-1416,NORTH LITTLE ROCK,AR,1,,ACTIVE SMALL FLEET,0,
HRM LOGISTICS LIMITED,(314) 719-7241,PATASKALA,OH,2,,ACTIVE SMALL FLEET,0,
MM MOVEMENT LOGISTICS LLC,(740) 789-9115,WESTERVILLE,OH,1,,ACTIVE SMALL FLEET,0,
SPEED ON SERVICES CORPORATION,(786) 302-4080,HIALEAH,FL,1,,ACTIVE SMALL FLEET,0,
CES LOGISTICS LLC,(267) 266-9512,PHILADELPHIA,PA,1,,ACTIVE SMALL FLEET,0,
ABF LOGISTICS LLC,(614) 999-3043,COLUMBUS,OH,0,,ACTIVE SMALL FLEET,0,
SHALLEN TRUKING LLC,(740) 572-1554,WASHINGTON COURT HOUSE,OH,1,,ACTIVE SMALL FLEET,0,
BOXCAR INC,(908) 485-7275,CHATHAM,NJ,1,,ACTIVE SMALL FLEET,0,
CARGO CARRIER LLC,(253) 656-9425,SUMNER,WA,1,,ACTIVE SMALL FLEET,0,
D2V EXPRESS CORP,(347) 519-1252,SHICKSHINNY,PA,1,,ACTIVE SMALL FLEET,0,
GOLEY LOGISTICS LLC,(380) 210-8407,COLUMBUS,OH,1,,ACTIVE SMALL FLEET,0,
FULL CIRCLE LOGISTICAL SOLUTIONS LLC,(980) 580-4400,HUNTERSVILLE,NC,1,,ACTIVE SMALL FLEET,0,
2ND2NUNN TRANSPORT SERVICES LLC,(336) 488-2931,STATESVILLE,NC,1,,ACTIVE SMALL FLEET,0,
A&D EXCAVATING LLC,(701) 330-7123,LARIMORE,ND,2,,ACTIVE SMALL FLEET,0,
SYMPHONIC LOGISTICS LLC,(813) 680-0106,SAINT PETERSBURG,FL,1,,ACTIVE SMALL FLEET,0,
